[2025-07-29 00:42:01] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:42:03] TRADE: AggressorID=1 matched RestingID=66 for 0 @ 4576918229304087675. Fee=$0.0000
[2025-07-29 00:44:40] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:44:42] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 00:44:43] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 00:44:44] TRADE: AggressorID=3 matched RestingID=2 for 10 @ 10100. Fee=$0.0000
[2025-07-29 00:44:46] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:44:48] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 00:44:49] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 00:44:50] TRADE: AggressorID=3 matched RestingID=2 for 10 @ 10100. Fee=$0.0000
[2025-07-29 00:46:34] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:46:37] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 00:46:38] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 00:46:39] TRADE: AggressorID=3 matched RestingID=2 for 10 @ 10100. Fee=$0.0000
[2025-07-29 00:46:54] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:47:26] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:50:20] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:51:40] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:51:50] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:51:56] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 00:51:57] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 00:51:58] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 00:53:44] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:54:26] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:54:38] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 00:54:39] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 00:54:40] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 00:56:45] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:57:17] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:57:52] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 00:59:32] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 01:03:09] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 01:03:15] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 01:03:16] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 01:03:17] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 01:18:49] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 01:19:23] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 01:19:24] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 01:19:25] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 01:19:57] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 01:27:57] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 02:17:39] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 02:17:42] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 02:17:43] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 02:17:44] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 02:17:49] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 02:18:17] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 02:20:35] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 02:21:22] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 02:21:24] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 02:21:25] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 02:21:26] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 02:23:21] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 02:23:42] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 02:23:49] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 02:23:50] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 02:23:51] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 02:24:01] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 16:54:15] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 16:56:11] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 16:56:20] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 16:56:21] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 16:56:22] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 17:02:44] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 17:02:48] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 17:02:49] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 17:02:50] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 17:06:59] LISTING: OrderID=0, Side=B, Fee=$0.01
[2025-07-29 17:07:01] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 17:07:02] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 17:07:03] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 17:07:10] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 17:07:11] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 17:07:12] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 17:07:21] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 17:07:22] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 17:07:23] LISTING: OrderID=3, Side=B, Fee=$0.01
[2025-07-29 17:07:32] LISTING: OrderID=1, Side=B, Fee=$0.01
[2025-07-29 17:07:33] LISTING: OrderID=2, Side=S, Fee=$0.01
[2025-07-29 17:07:34] LISTING: OrderID=3, Side=B, Fee=$0.01
